"freq,nrg_bal,siec,unit,geo\TIME_PERIOD"	2021	2022	2023	2024
"A,DL,G3000,TJ_GCV,ES"	248.646	291.734	1159.2	946.8
"A,DL,G3000,TJ_GCV,EU27_2020"	8767.665	20235.146	23380.671	26676.101
"A,DL,G3000,TJ_GCV,FI"	0	468	531	329
"A,DL,G3000,TJ_GCV,FR"	7511.955	6473.611	5870.809	4063.965
"A,DL,G3000,TJ_GCV,GE"	: 	0	1912.114	2057.818
"A,DL,G3000,TJ_GCV,HR"	: 	0	0	0
"A,DL,G3000,TJ_GCV,HU"	0	3483	3061	3314
"A,DL,G3000,TJ_GCV,IE"	0	0	0	0
"A,DL,G3000,TJ_GCV,IS"	: 	: 	0	: 
"A,DL,G3000,TJ_GCV,IT"	0	0	0	6639.289
"A,DL,G3000,TJ_GCV,LI"	: 	0	0	: 
"A,DL,G3000,TJ_GCV,LT"	: 	0	0	0
"A,DL,G3000,TJ_GCV,LU"	0	0	0	0
"A,DL,G3000,TJ_GCV,LV"	: 	350.111	404.748	190.315
"A,DL,G3000,TJ_GCV,MD"	: 	0	0	556.3
"A,DL,G3000,TJ_GCV,ME"	: 	0	0	0
"A,DL,G3000,TJ_GCV,MK"	0	0	0	0
"A,DL,G3000,TJ_GCV,MT"	: 	2.622	2.53	4.048
"A,DL,G3000,TJ_GCV,NL"	0	0	0	0
"A,DL,G3000,TJ_GCV,NO"	0	0	0	0
"A,DL,G3000,TJ_GCV,PL"	0	317.942	101.356	73.717
"A,DL,G3000,TJ_GCV,PT"	0	0	0	0
"A,DL,G3000,TJ_GCV,RO"	0	4046.477	3340.962	3361.299
"A,DL,G3000,TJ_GCV,RS"	0	0	0	0
"A,DL,G3000,TJ_GCV,SE"	: 	0	0	0
"A,DL,G3000,TJ_GCV,SI"	0	0	0	0
"A,DL,G3000,TJ_GCV,SK"	: 	3683	3166	3336
"A,DL,G3000,TJ_GCV,TR"	: 	116.061	98.058	110.316
"A,DL,G3000,TJ_GCV,UA"	0	0	: 	: 
"A,DL,G3000,TJ_GCV,UK"	: 	: 	: 	: 
"A,DL,G3000,TJ_GCV,XK"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,AL"	: 	0	0	0
"A,DL_NT,G3000,TJ_GCV,AT"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,BA"	: 	0	0	: 
"A,DL_NT,G3000,TJ_GCV,BE"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,BG"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,CY"	: 	0	0	0
"A,DL_NT,G3000,TJ_GCV,CZ"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,DE"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,DK"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,EA20"	0	0	21.663	0
"A,DL_NT,G3000,TJ_GCV,EA21"	0	0	21.663	0
"A,DL_NT,G3000,TJ_GCV,EE"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,EL"	0	0	21.663	: 
"A,DL_NT,G3000,TJ_GCV,ES"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,EU27_2020"	0	0	21.663	0
"A,DL_NT,G3000,TJ_GCV,FI"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,FR"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,GE"	: 	0	0	116.048
"A,DL_NT,G3000,TJ_GCV,HR"	: 	0	0	0
"A,DL_NT,G3000,TJ_GCV,HU"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,IE"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,IS"	: 	: 	0	: 
"A,DL_NT,G3000,TJ_GCV,IT"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,LI"	: 	0	0	: 
"A,DL_NT,G3000,TJ_GCV,LT"	: 	0	0	0
"A,DL_NT,G3000,TJ_GCV,LU"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,LV"	: 	0	0	0
"A,DL_NT,G3000,TJ_GCV,MD"	: 	0	0	0
"A,DL_NT,G3000,TJ_GCV,ME"	: 	0	0	0
"A,DL_NT,G3000,TJ_GCV,MK"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,MT"	: 	0	0	: 
"A,DL_NT,G3000,TJ_GCV,NL"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,NO"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,PL"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,PT"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,RO"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,RS"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,SE"	: 	0	0	0
"A,DL_NT,G3000,TJ_GCV,SI"	0	0	0	0
"A,DL_NT,G3000,TJ_GCV,SK"	: 	0	0	0
"A,DL_NT,G3000,TJ_GCV,TR"	: 	0	0	0
"A,DL_NT,G3000,TJ_GCV,UA"	0	0	: 	: 
"A,DL_NT,G3000,TJ_GCV,XK"	0	0	0	0
"A,EXP,C0350,TJ_GCV,AL"	0	0	0	0
"A,EXP,C0350,TJ_GCV,AT"	0	0	0	0
"A,EXP,C0350,TJ_GCV,BA"	0	0	0	: 
"A,EXP,C0350,TJ_GCV,BE"	0	0	0	0
"A,EXP,C0350,TJ_GCV,BG"	0	0	0	0
