"freq,stk_flow,siec,unit,geo\TIME_PERIOD"	2022	2023	2024
"A,STKCL_CG,G3000,TJ_GCV,NL"	1428116.467	1428116.467	1428116.467
"A,STKCL_CG,G3000,TJ_GCV,NO"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,PL"	250524.679	250508.278	250504.178
"A,STKCL_CG,G3000,TJ_GCV,PT"	11250	11250	11250
"A,STKCL_CG,G3000,TJ_GCV,RO"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,RS"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,SE"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,SI"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,SK"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,TR"	131382.72	131382.72	131382.72
"A,STKCL_CG,G3000,TJ_GCV,UA"	0	: 	: 
"A,STKCL_CG,G3000,TJ_GCV,UK"	: 	: 	: 
"A,STKCL_CG,G3000,TJ_GCV,XK"	0	0	0
"A,STKCL_NAT,G3000,MIO_M3,AL"	0	0	0
"A,STKCL_NAT,G3000,MIO_M3,AT"	7681.855	8359.317	7329.745
"A,STKCL_NAT,G3000,MIO_M3,BA"	0	0	: 
"A,STKCL_NAT,G3000,MIO_M3,BE"	792.4	879	708.2
"A,STKCL_NAT,G3000,MIO_M3,BG"	444.063	445.639	395.705
"A,STKCL_NAT,G3000,MIO_M3,CY"	0	0	0
"A,STKCL_NAT,G3000,MIO_M3,CZ"	2922.196	3062.641	2150.589
"A,STKCL_NAT,G3000,MIO_M3,DE"	21765.676	20743.07	17859.016
"A,STKCL_NAT,G3000,MIO_M3,DK"	2287.905	2273.784	2016.811
"A,STKCL_NAT,G3000,MIO_M3,EA20"	77146.289	77679.123	65467.33
"A,STKCL_NAT,G3000,MIO_M3,EA21"	77590.352	78124.762	65863.035
"A,STKCL_NAT,G3000,MIO_M3,EE"	0	0	0
"A,STKCL_NAT,G3000,MIO_M3,EL"	183.614	80.814	163.609
"A,STKCL_NAT,G3000,MIO_M3,ES"	3760.085	3357.231	2649.433
"A,STKCL_NAT,G3000,MIO_M3,EU27_2020"	93416.634	95836.89	79864.972
"A,STKCL_NAT,G3000,MIO_M3,FI"	76	132.4	139.8
"A,STKCL_NAT,G3000,MIO_M3,FR"	10555.103	10413.337	7607.825
"A,STKCL_NAT,G3000,MIO_M3,GE"	0	0	0
"A,STKCL_NAT,G3000,MIO_M3,HR"	478.9	360.8	283.8
"A,STKCL_NAT,G3000,MIO_M3,HU"	4419	5754	4411
"A,STKCL_NAT,G3000,MIO_M3,IE"	0	0	0
"A,STKCL_NAT,G3000,MIO_M3,IS"	: 	0	: 
"A,STKCL_NAT,G3000,MIO_M3,IT"	15844.534	16301.129	15919.86
"A,STKCL_NAT,G3000,MIO_M3,LI"	0	0	: 
"A,STKCL_NAT,G3000,MIO_M3,LT"	99.33	39.43	26.23
"A,STKCL_NAT,G3000,MIO_M3,LU"	0	0	0
"A,STKCL_NAT,G3000,MIO_M3,LV"	9.821	10.965	11.839
"A,STKCL_NAT,G3000,MIO_M3,MD"	99.35	23.42	22.9
"A,STKCL_NAT,G3000,MIO_M3,ME"	0	0	0
"A,STKCL_NAT,G3000,MIO_M3,MK"	1.115	1.017	1.013
"A,STKCL_NAT,G3000,MIO_M3,MT"	60.347	33.411	41.293
"A,STKCL_NAT,G3000,MIO_M3,NL"	11672.776	12635.13	8747.856
"A,STKCL_NAT,G3000,MIO_M3,NO"	171.012	162.294	42.409
"A,STKCL_NAT,G3000,MIO_M3,PL"	3718.094	3946.273	3303.825
"A,STKCL_NAT,G3000,MIO_M3,PT"	597.848	488.088	449.824
"A,STKCL_NAT,G3000,MIO_M3,RO"	2460.45	2637.06	2093
"A,STKCL_NAT,G3000,MIO_M3,RS"	581.98	723.972	684.456
"A,STKCL_NAT,G3000,MIO_M3,SE"	18.637	38.37	26.712
"A,STKCL_NAT,G3000,MIO_M3,SI"	0	0	0
"A,STKCL_NAT,G3000,MIO_M3,SK"	3568	3845	3529
"A,STKCL_NAT,G3000,MIO_M3,TR"	5334.46	5442.4	4874.378
"A,STKCL_NAT,G3000,MIO_M3,UA"	14500	: 	: 
"A,STKCL_NAT,G3000,MIO_M3,UK"	: 	: 	: 
"A,STKCL_NAT,G3000,MIO_M3,XK"	0	0	0
"A,STKCL_NAT,G3000,TJ_GCV,AL"	0	0	0
"A,STKCL_NAT,G3000,TJ_GCV,AT"	299088.19	325603.626	285306.847
"A,STKCL_NAT,G3000,TJ_GCV,BA"	0	0	: 
"A,STKCL_NAT,G3000,TJ_GCV,BE"	31204.1	34870.1	27862.9
"A,STKCL_NAT,G3000,TJ_GCV,BG"	17360.637	17441.643	15532.65
"A,STKCL_NAT,G3000,TJ_GCV,CY"	0	0	0
"A,STKCL_NAT,G3000,TJ_GCV,CZ"	113412.354	119855.792	84497.803
"A,STKCL_NAT,G3000,TJ_GCV,DE"	848600.165	808730.816	696287.3
"A,STKCL_NAT,G3000,TJ_GCV,DK"	89745.175	90667.175	80257.552
"A,STKCL_NAT,G3000,TJ_GCV,EA20"	2964776.56	2980075.094	2516052.541
"A,STKCL_NAT,G3000,TJ_GCV,EA21"	2982137.197	2997516.737	2531585.191
"A,STKCL_NAT,G3000,TJ_GCV,EE"	0	0	0
"A,STKCL_NAT,G3000,TJ_GCV,EL"	8089.982	3782.36	7013.619
"A,STKCL_NAT,G3000,TJ_GCV,ES"	152185.603	135880.482	107233.083
"A,STKCL_NAT,G3000,TJ_GCV,EU27_2020"	3594783.173	3687846.44	3077669.341
"A,STKCL_NAT,G3000,TJ_GCV,FI"	2940	5091	5439
"A,STKCL_NAT,G3000,TJ_GCV,FR"	440781.104	434860.962	317702.773
"A,STKCL_NAT,G3000,TJ_GCV,GE"	0	0	0
"A,STKCL_NAT,G3000,TJ_GCV,HR"	18682.155	14832.9	11667.3
"A,STKCL_NAT,G3000,TJ_GCV,HU"	173122	226119	173699
"A,STKCL_NAT,G3000,TJ_GCV,IE"	0	0	0
"A,STKCL_NAT,G3000,TJ_GCV,IS"	: 	0	: 
"A,STKCL_NAT,G3000,TJ_GCV,IT"	603676.745	621073.015	606546.666
"A,STKCL_NAT,G3000,TJ_GCV,LI"	0	0	: 
"A,STKCL_NAT,G3000,TJ_GCV,LT"	3851	1503	983
"A,STKCL_NAT,G3000,TJ_GCV,LU"	0	0	0
"A,STKCL_NAT,G3000,TJ_GCV,LV"	370.96	416.544	451.111
"A,STKCL_NAT,G3000,TJ_GCV,MD"	3363.9	793.2	775.5
"A,STKCL_NAT,G3000,TJ_GCV,ME"	0	0	0
"A,STKCL_NAT,G3000,TJ_GCV,MK"	44.044	40.177	40.04
"A,STKCL_NAT,G3000,TJ_GCV,MT"	2365.005	1314.352	1609.932
"A,STKCL_NAT,G3000,TJ_GCV,NL"	389160.771	421244.874	291646.335
"A,STKCL_NAT,G3000,TJ_GCV,NO"	6764.791	6419.437	1669.623
"A,STKCL_NAT,G3000,TJ_GCV,PL"	142130.06	151943.09	126858.058
"A,STKCL_NAT,G3000,TJ_GCV,PT"	23988.419	19612.702	18075.674
"A,STKCL_NAT,G3000,TJ_GCV,RO"	93503.774	100215.446	79577.45
"A,STKCL_NAT,G3000,TJ_GCV,RS"	21557.703	26817.371	25353.619
"A,STKCL_NAT,G3000,TJ_GCV,SE"	732.613	1529.2	1194.287
"A,STKCL_NAT,G3000,TJ_GCV,SI"	0	0	0
"A,STKCL_NAT,G3000,TJ_GCV,SK"	139719	151185	138227
"A,STKCL_NAT,G3000,TJ_GCV,TR"	204331.16	208465.69	186708.175
"A,STKCL_NAT,G3000,TJ_GCV,UA"	552972	: 	: 
"A,STKCL_NAT,G3000,TJ_GCV,UK"	: 	: 	: 
"A,STKCL_NAT,G3000,TJ_GCV,XK"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,AL"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,AT"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,BA"	0	0	: 
"A,STKOP_ABR,G3000,MIO_M3,BE"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,BG"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,CY"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,CZ"	134.945	0	0
"A,STKOP_ABR,G3000,MIO_M3,DE"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,DK"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,EA20"	789.35	781.19	720.3
"A,STKOP_ABR,G3000,MIO_M3,EA21"	789.35	781.19	720.3
"A,STKOP_ABR,G3000,MIO_M3,EE"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,EL"	97.35	61.19	0
"A,STKOP_ABR,G3000,MIO_M3,ES"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,EU27_2020"	934.482	873.576	720.3
"A,STKOP_ABR,G3000,MIO_M3,FI"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,FR"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,GE"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,HR"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,HU"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,IE"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,IS"	: 	0	: 
"A,STKOP_ABR,G3000,MIO_M3,IT"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,LI"	0	0	: 
"A,STKOP_ABR,G3000,MIO_M3,LT"	188	206	177.3
"A,STKOP_ABR,G3000,MIO_M3,LU"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,LV"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,MD"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,ME"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,MK"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,MT"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,NL"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,NO"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,PL"	10.187	92.386	: 
"A,STKOP_ABR,G3000,MIO_M3,PT"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,RO"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,RS"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,SE"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,SI"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,SK"	504	514	543
"A,STKOP_ABR,G3000,MIO_M3,TR"	0	0	0
"A,STKOP_ABR,G3000,MIO_M3,UA"	0	: 	: 
"A,STKOP_ABR,G3000,MIO_M3,UK"	: 	: 	: 
"A,STKOP_ABR,G3000,MIO_M3,XK"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,AL"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,AT"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,BA"	0	0	: 
"A,STKOP_ABR,G3000,TJ_GCV,BE"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,BG"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,CY"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,CZ"	5196.722	0	0
"A,STKOP_ABR,G3000,TJ_GCV,DE"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,DK"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,EA20"	30482.83	30660.09	28268
"A,STKOP_ABR,G3000,TJ_GCV,EA21"	30482.83	30660.09	28268
"A,STKOP_ABR,G3000,TJ_GCV,EE"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,EL"	3893.83	2446.09	0
"A,STKOP_ABR,G3000,TJ_GCV,ES"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,EU27_2020"	36061.004	34119.575	28268
"A,STKOP_ABR,G3000,TJ_GCV,FI"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,FR"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,GE"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,HR"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,HU"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,IE"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,IS"	: 	0	: 
"A,STKOP_ABR,G3000,TJ_GCV,IT"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,LI"	0	0	: 
"A,STKOP_ABR,G3000,TJ_GCV,LT"	7231	8095	6907
"A,STKOP_ABR,G3000,TJ_GCV,LU"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,LV"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,MD"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,ME"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,MK"	0	0	0
"A,STKOP_ABR,G3000,TJ_GCV,MT"	0	0	0
