Geopolitical Entity,Year,Sector,Level_Sankey,Lifecycle Step,Source,Target,Flow,Unit,Value (THOUSAND TONNES),Value C (TONNES),,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Reuses,By-products,Energy (prev. node),Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Reuses,By-products,Material industry,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Reuses,By-products,Material industry,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Reuses,Post-consumer wood,Energy (prev. node),Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Reuses,Post-consumer wood,Energy (prev. node),Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Reuses,Post-consumer wood,Material industry,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Reuses,Post-consumer wood,Material industry,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Uses,Roundwood,Energy (prev. node),Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Uses,Roundwood,Energy (prev. node),Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Uses,Roundwood,Material industry,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Uses,Roundwood,Material industry,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Uses,Uncategorised wood,Energy (prev. node),Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Uses,Uncategorised wood,Energy (prev. node),Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
